nombre_establecimiento,razon_social,fecha_alta,categoria_actividad,actividad,personas_ocupadas,tipo_empresa,tipo_centro_comercio,centro_comercio,tipo_unidad_economica,direccion,colonia,alcaldia,telefono,correo_electronico,pagina_web,latitud,longitud
FARMACIA DE JESUS,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SAN JUAN DE LOS LAGOS EXT. 2488  C.P. 7510,SAN FELIPE DE JESUS IV,GUSTAVO A. MADERO,"5525333043",NA,NA,19.49708216,-99.0733658
FARMACIA DE JESUS ES MI PASTOR,NA,2021-05-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 28   ,GUADALUPE PROLETARIA,GUSTAVO A. MADERO,NA,NA,NA,19.52080373,-99.15813554
FARMACIA DE L,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ANGULAS EXT. 0 INT. 0 C.P. 15630,CARACOL,VENUSTIANO CARRANZA,NA,NA,NA,19.42770308,-99.06956587
FARMACIA DE LA COLONIA,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ALFONSO HERRERA EXT. 84  C.P. 6470,SAN RAFAEL II,CUAUHTEMOC,"5555355000",mercamed.@prodigy.net.mx,NA,19.44010256,-99.16364116
FARMACIA DE LA COLONIA,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GENERAL JOSE MONTESINOS EXT. 37  C.P. 11380,DANIEL GARZA (AMPL),MIGUEL HIDALGO,"5552710147",NA,NA,19.40611484,-99.19711661
FARMACIA DE LA CRUZ,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ALVARO OBREGON EXT. 389  C.P. 1830,LA CONCEPCION,LA MAGDALENA CONTRERAS,"5556453704",NA,NA,19.30593897,-99.23403527
FARMACIA DE LA CRUZ,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JOSELITO HUERTA EXT. 18  C.P. 9630,SAN MIGUEL TEOTONGO III,IZTAPALAPA,NA,NA,NA,19.34177088,-98.9877979
FARMACIA DE LA CRUZ,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 4 EXT. 22  C.P. 9209,RENOVACION,IZTAPALAPA,NA,NA,NA,19.36988239,-99.05077318
FARMACIA DE LA DOCTORA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE VENUSTIANO CARRANZA EXT. 157  C.P. 2440,PROVIDENCIA,AZCAPOTZALCO,NA,NA,NA,19.49221658,-99.2147561
FARMACIA DE LA ECONOMIA,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA EMILIO CARRANZA EXT. 103  C.P. 15500,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,"5557861331",NA,NA,19.42891964,-99.10477858
FARMACIA DE LA ECONOMIA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE YAQUIS EXT. 79  C.P. 14430,TLALCOLIGIA,TLALPAN,NA,NA,NA,19.27578896,-99.17200008
FARMACIA DE LA FE,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FELIPE ANGELES EXT. 66 INT. 0 C.P. 9500,SANTA MARIA AZTAHUACAN (EJ) II,IZTAPALAPA,NA,NA,NA,19.35099034,-99.03516788
FARMACIA DE LA FE,FARMACIA GRUPO AYALA SA DE CV,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA TETIZ EXT. 789  C.P. 14100,PEDREGAL DE SN NICOLAS 2A SECC,TLALPAN,NA,NA,NA,19.28842053,-99.23315562
FARMACIA DE LA LUZ,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MANUEL GANDARA EXT. 409  C.P. 9510,SANTA MARTHA ACATITLA SUR (AMPL),IZTAPALAPA,"5578705998",farmacia.dla.luz@gmail.com,NA,19.36468989,-99.02269084
FARMACIA DE LA LUZ,NA,2014-12-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE COSTERA EXT. 21  C.P. 14427,SN JUAN TEPEXIMILPA,TLALPAN,"5514410352",NA,NA,19.27216331,-99.19108171
FARMACIA DE LA LUZ,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SOR JUANA INES DE LA CRUZ EXT. 7 INT. 0 C.P. 7200,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,NA,NA,NA,19.54673513,-99.14093115
FARMACIA DE LA LUZ,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CEDROS EXT. 23  C.P. 2240,SAN ANDRES (BARR),AZCAPOTZALCO,NA,NA,NA,19.49227472,-99.18001989
FARMACIA DE LA LUZ,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CORREO MAYOR EXT. 118  C.P. 6090,CENTRO VI,CUAUHTEMOC,NA,sarmpatin@yahoo.com.mx,NA,19.42685611,-99.1307848
FARMACIA DE LA LUZ,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE EMILIANO ZAPATA EXT. 19 INT. 0 C.P. 9870,12 DE DICIEMBRE,IZTAPALAPA,NA,NA,NA,19.32788448,-99.09971217
FARMACIA DE LA LUZ,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GENERAL FELIPE ANGELES EXT. 3  C.P. 7100,CUAUTEPEC EL ALTO (PBLO),GUSTAVO A. MADERO,NA,NA,NA,19.55562755,-99.13136809
FARMACIA DE LA LUZ,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE HIDALGO EXT. 13 INT. 0 C.P. 5600,SAN MATEO TLALTENANGO (PBLO),CUAJIMALPA DE MORELOS,NA,NA,NA,19.34145307,-99.27992278
FARMACIA DE LA LUZ,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA PARQUE LIRA EXT. 31 INT. 0 C.P. 11850,SAN MIGUEL CHAPULTEPEC I,MIGUEL HIDALGO,NA,farmaciadelaluz@hotmail.com,NA,19.40992729,-99.19058059
FARMACIA DE LA LUZ TEPETLAPA,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE TEPETLAPA EXT. 2041  C.P. 4918,CAFETALES I (RDCIAL),COYOACAN,NA,NA,NA,19.31538424,-99.10947853
FARMACIA DE LA MUJER GI,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA SAMUEL GOMPERS EXT. 16  C.P. 9290,SANTA CRUZ MEYEHUALCO (U HAB) II,IZTAPALAPA,NA,farmujer@gmail.com,NA,19.34992897,-99.04278541
FARMACIA DE LA POLICIA BANCARIA INDUSTRIAL,POLICIA BANCARIA INDUSTRIAL,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,OTRO (ESPECIFIQUE) 4 NORTE (PONIENTE 128)   C.P. 7700,NUEVA VALLEJO,GUSTAVO A. MADERO,NA,NA,NA,19.48730334,-99.14491059
FARMACIA DE LA ROSA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ABRAHAM GONZALEZ EXT. 15 INT. 0 C.P. 9500,SANTA MARIA AZTAHUACAN (EJ) I,IZTAPALAPA,NA,NA,NA,19.36051663,-99.0383609
FARMACIA DE LA SALUD,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CONSTITUCION DE 1857   C.P. 16035,SAN LORENZO LA CEBADA II,XOCHIMILCO,NA,NA,NA,19.28124716,-99.11808412
FARMACIA DE LA SALUD,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE EMILIANO ZAPATA EXT. 32 INT. 0 C.P. 16200,SANTIAGO TEPALCATLALPAN (PBLO),XOCHIMILCO,NA,NA,NA,19.24928144,-99.12189066
FARMACIA DE LA SALUD,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA AFRICA EXT. 99 INT. 0 C.P. 15400,ROMERO RUBIO,VENUSTIANO CARRANZA,NA,NA,NA,19.44329311,-99.09675451
FARMACIA DE LA SALUD,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SOLES EXT. 67  C.P. 7960,CERRO PRIETO,GUSTAVO A. MADERO,NA,NA,NA,19.45394195,-99.09643989
FARMACIA DE LA SALUD,NA,2011-03-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JESUS CARRANZA EXT. 70  C.P. 6200,MORELOS I,CUAUHTEMOC,NA,NA,NA,19.44801828,-99.1302895
FARMACIA DE LA SALUD,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE NOPALTZIN EXT. 39  C.P. 11320,TLAXPANA,MIGUEL HIDALGO,"5510557140",NA,NA,19.44214583,-99.16825767
FARMACIA DE LA SALUD,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 5 NORTE (CALZADA SAN JUAN DE ARAGON)   C.P. 7580,CASAS ALEMAN (AMPL) II,GUSTAVO A. MADERO,NA,NA,NA,19.47617791,-99.09040791
FARMACIA DE LA SALUD,NA,2014-12-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ZARAGOZA   C.P. 9600,SANTIAGO ACAHUALTEPEC (PBLO),IZTAPALAPA,NA,viry_many@hotmail.com,www.farmaciadelasalud.com,19.35399306,-99.00388909
FARMACIA DE LA VEGA,FARMACIA DE LA VEGA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CALLE DEL LLANO EXT. 123  C.P. 9500,SANTA MARIA AZTAHUACAN (EJ) II,IZTAPALAPA,NA,NA,NA,19.34803256,-99.02817147
FARMACIA DE LA VIRGEN,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA CALZADA DE LA VIRGEN EXT. 173  C.P. 4480,CTM VII CULHUACAN (U HAB),COYOACAN,NA,NA,NA,19.32172946,-99.10836387
FARMACIA DE LAS CRUCES,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA VIOLETA EXT. 3  C.P. 16500,SANTA CRUZ ACALPIXCA (PBLO),XOCHIMILCO,NA,NA,NA,19.23964884,-99.07535294
FARMACIA DE LAS FLORES,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ACANCEH EXT. 186  C.P. 14240,LOMAS DE  PADIERNA II,TLALPAN,"5570637350",raulfloresposada@gmail.com,NA,19.29071077,-99.21947544
FARMACIA DE LOS ANGELES,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE QUECHOLAC EXT. 10  C.P. 14040,CANTERA PUENTE DE PIEDRA,TLALPAN,NA,NA,NA,19.29975993,-99.16580853
FARMACIA DE LOS ANGELES MLG,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 10 SUR (AVENIDA PEDRO ENRIQUEZ UREÑA) EXT. 387  C.P. 4369,PEDREGAL DE STO DOMINGO II,COYOACAN,"5554218807",NA,NA,19.33524513,-99.16320051
FARMACIA DE LOS MAESTROS,NA,2011-03-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE OJO DE AGUA EXT. 1  C.P. 13546,SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,NA,NA,NA,19.2504303,-99.00896087
FARMACIA DE LOS REYES,NA,2014-12-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PRIMAVERA EXT. 7  C.P. 9210,TEPALCATES II,IZTAPALAPA,NA,NA,NA,19.39124071,-99.0560456
FARMACIA DE LUZ,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GUADALUPE TRIGO   C.P. 13020,SAN JOSE,TLAHUAC,NA,NA,NA,19.27558813,-98.99569486
FARMACIA DE MAMA,FARMACIA DE MAMA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JUAN GUTIERREZ EXT. 27  C.P. 15500,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,NA,NA,NA,19.42694925,-99.10625681
FARMACIA DE MARIA,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CECILIO ROBELO EXT. 4  C.P. 15900,JARDIN BALBUENA I,VENUSTIANO CARRANZA,"72653585",NA,NA,19.4239197,-99.11095738
FARMACIA DE MEDICAMENTOI GENERICO,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LUNA EXT. 13  C.P. 9640,LOMAS DE LA ESTANCIA II,IZTAPALAPA,NA,NA,NA,19.33852538,-99.00887074
FARMACIA DE MEDICAMENTOS ECONOMICOS,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE YECAHUIZOTL   C.P. 9637,SAN FRANCISCO APOLOCALCO,IZTAPALAPA,"5570635990",NA,NA,19.32950567,-98.96922478
FARMACIA DE MEDICAMENTOS EQUIVALENTES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 21 DE MARZO EXT. 266 INT. 0 C.P. 7330,LA LAGUNA TICOMAN (BARR),GUSTAVO A. MADERO,NA,NA,NA,19.51629592,-99.13377364
FARMACIA DE MEDICAMENTOS EQUIVALENTES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PONIENTE 112 EXT. 410  C.P. 7770,PANAMERICANA,GUSTAVO A. MADERO,"5562225630",NA,NA,19.47774517,-99.1438778
FARMACIA DE MEDICAMENTOS GENERICOS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA IGNACIO ZARAGOZA EXT. 2  C.P. 7200,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,NA,NA,NA,19.5456102,-99.13492328
FARMACIA DE MEDICAMENTOS GENERICOS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CENTENARIO EXT. 1833  C.P. 7040,SANTIAGO ATZACOALCO (PBLO),GUSTAVO A. MADERO,NA,NA,NA,19.49263344,-99.0993058
FARMACIA DE MEDICAMENTOS GENERICOS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE HOJALATERIA EXT. 175  C.P. 15230,EMILIO CARRANZA,VENUSTIANO CARRANZA,"5526161342",NA,NA,19.44866253,-99.11947592
FARMACIA DE MEDICAMENTOS GENERICOS MARISOL,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA PUENTE RAMIREZ EXT. 1 INT. 0 C.P. 9830,SAN JUAN 2A AMPLIACIN (PJE),IZTAPALAPA,"5559138417",lylimontes@yahoo.com.mx,NA,19.33883205,-99.07268524
FARMACIA DE MEDICAMENTOS GENERICOS REYNA,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BOLIVAR EXT. 419  C.P. 6800,OBRERA III,CUAUHTEMOC,NA,NA,NA,19.40930502,-99.14201124
FARMACIA DE MEDICAMENTOS GENERICOS Y SIMILARES ALE,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MOCTECUZOMA EXT. 102 INT. 0 C.P. 4300,AJUSCO II,COYOACAN,NA,alediazglez@hotmail.com,NA,19.31615516,-99.1631351
FARMACIA DE MEDICAMENTOS KARLA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CALZADA ACUEDUCTO EXT. 9  C.P. 13440,SAN FRANCISCO TLALTENCO (PBLO),TLAHUAC,"5514375228",ich.10@hotmail.com,NA,19.29740849,-99.0233807
FARMACIA DE MEDICINA EQUIVALENTE,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 26 EXT. 90 INT. 0 C.P. 7600,PROGRESO NACIONAL II,GUSTAVO A. MADERO,"5553699655",NA,NA,19.51884361,-99.15120345
FARMACIA DE MEDICINAS ECONOMICAS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PUERTO TAMPICO   C.P. 7580,CASAS ALEMAN (AMPL) II,GUSTAVO A. MADERO,"5557506067",NA,NA,19.47671502,-99.08508515
FARMACIA DE MEDICINAS EQUIVALENTES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE NORTE 1-F EXT. 4907  C.P. 7380,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,"5553683681",NA,NA,19.47691097,-99.13920308
FARMACIA DE MEDICINAS EQUIVALENTES,NA,2016-01-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE VENTISCA EXT. 803 INT. 0 C.P. 7600,ACUEDUCTO DE GUADALUPE (U HAB),GUSTAVO A. MADERO,NA,NA,NA,19.52844014,-99.15584881
FARMACIA DE MEDICINAS GENERICOS  SIN NOMBRE,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PRIMAVERA EXT. 9  C.P. 7310,LA CANDELARIA TICOMAN (BARR),GUSTAVO A. MADERO,NA,NA,NA,19.52175472,-99.13848781
FARMACIA DE MULTIGENERICOS,GRUPO FARMACEUTICO RADDI SA DE CV,2016-10-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ORIENTE 108 EXT. 3151  C.P. 8000,RAMOS MILLAN BRAMADERO I,IZTACALCO,NA,NA,NA,19.39136685,-99.09419267
FARMACIA DE MULTIGENERICOS,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SUR 16 EXT. 267  C.P. 8500,AGRICOLA ORIENTAL II,IZTACALCO,NA,NA,NA,19.39476877,-99.07476102
FARMACIA DE NAZARETH,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CAMPO CANTEMOC EXT. 408 INT. 0 C.P. 2700,SAN  MIGUEL AMANTLA (PBLO),AZCAPOTZALCO,"65915987",NA,NA,19.47779577,-99.20030936
FARMACIA DE NUESTRO SEÑOR DE LA MISERICORDIA,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BENITO JUAREZ EXT. 34  C.P. 7200,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,NA,NA,NA,19.5436009,-99.13739824
FARMACIA DE ORIENTE,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE ALEMAN EXT. 15 INT. 0 C.P. 9240,PROGRESISTA,IZTAPALAPA,NA,NA,NA,19.36157463,-99.06677965
FARMACIA DE ORIENTE,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,"TIANGUIS, BAZAR O PULGA",GUELATAO,Fijo,CALLE GENERAL IGNACIO ZARAGOZA EXT. 1713 INT. 0 C.P. 9230,EJTO DE OTE II (U HAB),IZTAPALAPA,"5532659606",NA,NA,19.38535201,-99.03687873
FARMACIA DE PATENTE Y SIMILARES,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MANUEL M. LOPEZ EXT. 0 INT. 0 C.P. 13310,SAN MIGUEL ZAPOTITLA,TLAHUAC,NA,NA,NA,19.31131134,-99.03689969
"FARMACIA DE PATENTES, GENÉRICOS Y SIMILARES ANGIE",NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FRANCISCO DE HACHA EXT. 17  C.P. 13310,SAN MIGUEL ZAPOTITLA,TLAHUAC,NA,NA,NA,19.310219,-99.03892359
FARMACIA DE PEREZ HERRERA,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE TOMAS ELENA   C.P. 13090,SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,NA,NA,NA,19.258849,-99.00676673
FARMACIA DE PRODUCTOS GENERICIO,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE RETOÑO EXT. 63 INT. 0 C.P. 9440,EL RETOO,IZTAPALAPA,NA,NA,NA,19.37225417,-99.12475533
FARMACIA DE REGALOS ELIZABETH,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PAPALOTL EXT. 88 INT. 0 C.P. 4369,PEDREGAL DE STO DOMINGO III,COYOACAN,"5541679022",NA,NA,19.33239246,-99.16190868
FARMACIA DE SALINAS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA BORDO EXT. 33 INT. 0 C.P. 4910,VIEJO EJIDO SANTA URSULA COAPA,COYOACAN,"5556773885",NA,NA,19.30238643,-99.14010478
FARMACIA DE SAN FELIPE,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GOLFO DE BENGALA EXT. 3  C.P. 11410,TACUBA,MIGUEL HIDALGO,NA,NA,NA,19.45726946,-99.18725659
FARMACIA DE SIMILARES,PJD ADMINISTRADORA DE FARMACIAS SA DE CV,2019-11-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA CAMINO A SANTA FE EXT. 489  C.P. 1160,MARIA G DE GARCIA RUIZ,ALVARO OBREGON,NA,NA,NA,19.38850362,-99.21264855
FARMACIA DE SIMILARES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 2 NORTE (CANAL DEL NORTE) EXT. 427  C.P. 15300,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,"5526164957",NA,NA,19.44797865,-99.10676634
FARMACIA DE SIMILARES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CEDRAL EXT. 1  C.P. 14640,EJIDOS DE SAN PEDRO MARTIR II (SUR),TLALPAN,NA,NA,NA,19.26791628,-99.16056797
FARMACIA DE SIMILARES,FARMACIA DE SIMILARES,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JACOBO WATT EXT. 32  C.P. 9800,SAN SIMON CULHUACAN (BARR),IZTAPALAPA,NA,NA,NA,19.33378983,-99.10208015
FARMACIA DE SIMILARES,FARMACIAS BALU SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE RESINA EXT. 520  C.P. 8400,GRANJAS MEXICO II,IZTACALCO,NA,NA,NA,19.39743483,-99.09476616
FARMACIA DE SIMILARES,COMERCIALIZADORA DE MEDICAMENTOS ECONOMICOS SA DE CV,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA TECNOLOGICO EXT. 409 INT. 0 C.P. 7200,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,NA,fdsimilaresf-2367@telmexmel.com,www.farmaciasdesimilares.com,19.54885144,-99.14252853
FARMACIA DE SIMILARES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MARTIN HEREDIA EXT. 22  C.P. 16730,SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,NA,NA,NA,19.25650682,-99.01023601
FARMACIA DE SIMILARES,GPO IMPULSOR FARMACEUTICO SA DE CV,2016-10-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CENTRAL SUR EXT. 557 INT. 0 C.P. 2600,PRO HOGAR I,AZCAPOTZALCO,NA,pro-hogar372702@outlook.com,www.farmaciasdesimilares.com,19.47597242,-99.15035449
FARMACIA DE SIMILARES,GRUPO IMPULSOR FARMACEUTICA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA VASCO DE QUIROGA EXT. 1697  C.P. 1210,SANTA FE,ALVARO OBREGON,NA,NA,NA,19.38121871,-99.24114589
FARMACIA DE SIMILARES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ORIENTE 87 EXT. 4505 INT. 0 C.P. 7899,NUEVA TENOCHTITLAN,GUSTAVO A. MADERO,"5511141913",NA,NA,19.45509862,-99.10242246
FARMACIA DE SIMILARES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LAZARO CARDENAS EXT. 91 INT. 0 C.P. 16500,SANTA CRUZ ACALPIXCA (PBLO),XOCHIMILCO,"5560504050",NA,NA,19.24645595,-99.07390564
